id,twitterId,instance,bucket,timestamp,screenname,fullname,text,fromid,location,country,state,city,latitude,longitude,lang
21080226,325020921201054000,436,842,1366326000000,jpdelorenzo,Juan P. De Lorenzo,Que me importa el #18A... Para mi el #20A alentando a chicago. EN LAS MALAS MUCHO MAS!,138505103,,\N,\N,\N,0,0,nn
21080227,325020921289138000,436,842,1366326000000,ManuelNSosa,ManuelSosa -,RT @mstupenengo: Protesta en Nueva York #18A http://t.co/x67YxTLfHZ,190839732,Argentina,argentina,capital federal,buenos aires,-34.5875,-58.6725,nn
21080236,325020918193738000,436,842,1366326000000,AnaClaraCarrion,Ana Clara,"RT @Lanataenel13: Los canales K llaman al #18A \""La marcha de la  oposición\"". Chicos, esto es el pueblo. En todo el país.",246471194,"-34.912832,-57.946994",india,maharashtra,mumbai,-34.912832,-57.946994,nn
21080243,325020921565942000,436,842,1366326000000,fanBailando2013,ESPECTACULO OFICIAL®,"Con el lema \""sin justicia no hay futuro\""  arrancó la marcha #18A #18ArgentinaResiste #18ATodosALaCalle .",547408446,,\N,\N,\N,0,0,nn
21080203,325020922744545000,436,842,1366326001000,Mateo3765,mateo,Eu kirchnerista cuando no tengas plata para darle de comer a tu hijos le vas a decir #VotoVenceCacerola ? #18ATodosALaCalle,825913015,,\N,\N,\N,0,0,nn
21080214,325020923583414000,436,842,1366326001000,clawiki2004,claucuellar ush arg,RT @mstupenengo: Protesta en Nueva York #18A http://t.co/x67YxTLfHZ,150837192,Ushuaia,argentina,tierra del fuego,ushuaia,-54.8,-68.3,nn
21080248,325020922677457000,436,842,1366326001000,nigr0mante,Jules,"Che, los de @PersonalAr se fueron al #18ATodosALaCalle? No dejaron ni un bot para contestar...",23208342,Westeros,\N,\N,\N,0,0,nn
21080254,325020923218506000,436,842,1366326001000,MarcossOlguin,Marcos olguin,"ooooh que se vayan todos, que no quede ni uno solooo #18A",1288601706,Maipu - mendoza,argentina,mendoza,mendoza,-32.8833333,-68.8166667,nn
21080256,325020924833300000,436,842,1366326001000,TwiitiON,Twii ? 18A,"RT @GerardoGerman52: #18ATodosALaCalle a las 20 hs en Plaza de Mayo, el por que está en la foto adjunta: http://t.co/Zh6WTwGtzI",224796437,Planeta Tierra,\N,\N,\N,0,0,nn
21080264,325020923302392000,436,842,1366326001000,alanBanfieldMDP,MDP ES DE BANFIELD !,Me hubiera encantado ir a la marcha :( #18A,172105598,Mar Del Plata,argentina,buenos aires,mar del plata,-38,-57.55,nn
21080275,325020925907067000,436,842,1366326001000,ElGringoLatino,Jason K. Smith,RT @ImpactoNY: Arranca la protesta del #18A contra el Gobierno de #CristinaFernández | http://t.co/dil91o2UmK | #Argentina #Caserolazo,141214848,New York,united states,new york,new york,40.7141667,-74.0063889,nn
21080238,325020927060484000,436,842,1366326002000,mdc_mol,? María Molina ?,#18ATodosALaCalle gran convocatoria cuando los k no llega ni a la cuarta parte,164096370,"Bs As, Argentina",argentina,capital federal,buenos aires,-34.5875,-58.6725,nn
21080244,325020929468019000,436,842,1366326002000,LuMiccelli,Lucy ,#18A #estantodosbuenos #dejademirareliphoneydejamdpasarboludo #yotebancocris #cantéoleleolala #mamásecopo,210276158,,\N,\N,\N,0,0,nn
21080249,325020927576383000,436,842,1366326002000,pablomcaruso,Pablo Caruso,RT @JoseGluj: Mi Cartel #18ATodosALaCalle http://t.co/c7V2j1H1kw,35929783,Buenos Aires,argentina,capital federal,buenos aires,-34.5875,-58.6725,nn
21080255,325020926880133000,436,842,1366326002000,lorenzonsonson,Cecy,RT @AngeldebritoOk: RT @MoskitaMuertaOk: #Rating el dato: picos de 6.1 para la cobertura de @todonoticias #18A por encima de todas las s ...,337281500,Argentina,argentina,capital federal,buenos aires,-34.5875,-58.6725,nn
21080257,325020927572193000,436,842,1366326002000,sal_s,Sal S. (Naranjita),"#18A Concordia, Entre Rios. AR-GEN-TI-NA .",17763824,"As for now, Argentina. ",argentina,capital federal,buenos aires,-34.5875,-58.6725,nn
21080265,325020927446356000,436,842,1366326002000,nelson_la25,Nelson Vazquez,"Que podrian ser buenos pedidos para el #18A :Basta de Corrupción,pero no solo de los politicos,de las grandes corporaciones tambien!!",145411753,"La Plata,Argentina",argentina,buenos aires,la plata,-34.9313889,-57.9488889,nn
21080276,325020927261811000,436,842,1366326002000,JohnGalt_ar,John Galt Argentino,RT @ivanmarienhoff: #18atodosalacalle #18A @JohnGalt_ar @Ed_marty @lanacioncom http://t.co/dmhvAlX97y,143896431,Argentina,argentina,capital federal,buenos aires,-34.5875,-58.6725,nn
21080277,325020929543524000,436,842,1366326002000,gracielita71,graciela #15N,RT @AgustinCassini: No vengo mas. Acá los venden a los chori! La prox me voy a un acto peronista que son gratis. #18A,37555316,"Buenos Aires, Argentina",argentina,capital federal,buenos aires,-34.5875,-58.6725,nn
21080294,325020927857402000,436,842,1366326002000,melyriquelme,mely riquelme,RT @mstupenengo: Protesta en Nueva York #18A http://t.co/x67YxTLfHZ,149308120,ARGENTINA Rosario Sta. Fe,argentina,santa fe,rosario,-32.9511111,-60.6663889,nn
21080250,325020930655003000,436,842,1366326003000,PAMEELITA,Santa Cachucha #LB,"RT @alerta24ok: #ALERTA24: [ #18A ] #AHORA Multitudinaria marcha contra el Gobierno de @CFKArgentina. Olivos, Plaza de Mayo y 9 de Julio re…",36584845,ARGENTINA/CHILE,argentina,capital federal,buenos aires,-34.5875,-58.6725,nn
21080258,325020932290773000,436,842,1366326003000,MaruSpivacow,Ma. Eugenia Spivacow,Me parece perfecto q la gente se manifieste como quiera. Aunque considero q la mejor forma de hacerlo es votando. Hay q saber votar!! #18A,192384262,Argentina,argentina,capital federal,buenos aires,-34.5875,-58.6725,nn
21080259,325020933481984000,436,842,1366326003000,YamilaElisabet,Yami ?,"\""@noticiaya: Elisa Carrió rumbo a Plaza de Mayo #18A\"" TRAIGAN LOS CHORISSSSSSSSS",185047678,Udaondo y Alcorta,\N,\N,\N,0,0,nn
21080266,325020933314191000,436,842,1366326003000,laumiami,LAURA,"RT @JuliaUrbani: #18ATodosALaCalle Porque no tengo miedo,porque me mataron en mi vida,porq me queda una hija,por todos los Argentinos!",42920248,MIAMI,united states,florida,miami,25.7738889,-80.1938889,nn
21080283,325020933259657000,436,842,1366326003000,pablusi,pablusi,RT @falladito: Recién comienza la marcha del #18A y entre los manifiestantes juntan mas dientes que todos los Kirchneristas juntos.,140407031,Buenos Aires,argentina,capital federal,buenos aires,-34.5875,-58.6725,nn
21080284,325020933578453000,436,842,1366326003000,ContiScarpin,Constanza Scarpin,#18A,304643053,,\N,\N,\N,0,0,nn
21080285,325020933561676000,436,842,1366326003000,Valedela12,Vale M ?,Yo apoyo al #18A,489530699,,\N,\N,\N,0,0,nn
21080303,325020934329233000,436,842,1366326003000,vagraym,Valerie Gray,#18atodosalacalle #18a solo basta con mirar las calles para darnos cuenta que algo tiene que cambiar!,363894417,"Lima, Perú",peru,lima,lima,-12.05,-77.05,nn
